mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.4690677640343001,1.6415739024127087,0.03854964864798363,0.010972509532764291,-0.27102851482602863,1.0,-0.3107927310392287,3.162277660168379e-08
-0.5530622850741571,2.3687530461189428,0.03882273454623516,0.010490397942744043,-0.1460391656259309,4.243165038658731e-146,-0.3107927319975657,3.162277660168379e-08
-0.41221894033197654,1.5860372482366467,0.03851302942074647,0.010344077525693348,-0.18835126003228486,1.0,-0.3107927326223624,3.162277660168379e-08
-0.3115685191509081,1e-06,0.04235186086314924,0.010158621008086469,-0.1966387298234336,5.997618162162044e-148,-0.31079273554791903,3.162277660168379e-08
-0.43579412540819146,1e-06,0.03059208826886663,0.011192946598506897,-0.11505952728321173,1.0000000000000002,-0.3107927269292732,3.162277660168379e-08
-0.5370249090198639,2.246805913202791,0.037635364407273345,0.01069798933837575,-0.11630047069683154,4.527450632859633e-145,-0.3107927278095689,3.162277660168379e-08
-0.24436162149762533,0.4203373356703925,0.03779475556755821,0.010100156892916105,-0.11163352603297061,1.0,-0.3107927301113226,3.162277660168379e-08
0.006145110058273895,1e-06,0.03962172343924325,0.010354279362417684,-0.12957718531868176,5.598906924375937e-148,-0.3107927268868356,3.162277660168379e-08
-0.3927557989803654,0.952565223695436,0.038096468994773834,0.012341584043558472,-0.20795983378341043,1.0,-0.3107927244033326,3.162277660168379e-08
-0.35093281556874967,1e-06,0.039109444504038006,0.010616275560789808,-0.18192269834642458,4.821379619289957e-146,-0.3107927278240773,3.162277660168379e-08
-0.32420292783923166,1e-06,0.04835096575456303,0.010649585651379963,-0.17869529125325023,1.0,-0.31079272382297796,3.162277660168379e-08
-0.22629116819458409,0.38945387893790806,0.041806261413515976,0.010700650826029102,-0.17295835450909744,1.0229068713177174e-143,-0.31079272340718583,3.162277660168379e-08
-0.7107068707254242,1.8209880444838438,0.038498917486108494,0.010990761999540037,-0.14112423688504067,1.0,-0.3107927252436358,3.162277660168379e-08
-0.39223643386069507,0.32428591261533335,0.03233971885781587,0.010508621543074194,-0.12502125811493106,2.6033018651211353e-145,-0.31079272295431737,3.162277660168379e-08
-0.44354901211302383,1e-06,0.032406627835498254,0.010877667338351618,-0.1601040250050657,1.0,-0.31079272285521237,3.162277660168379e-08
-0.3668095956000005,2.703532086034273,0.038921663199373846,0.01166659895550004,-0.16460954620638862,9.434076199484773e-145,-0.3107927207051731,3.162277660168379e-08
-0.646551663325529,2.046242158913508,0.041518990400431874,0.01019984158887925,-0.2358606883544176,1.0,-0.31079271989213886,3.162277660168379e-08
-0.5450177164018217,0.34028849459364074,0.04351901285143981,0.009948205264241932,-0.124985615812694,4.739381073834514e-140,-0.31079271877261316,3.162277660168379e-08
-0.439020421479099,0.65993964395126,0.04112745095324124,0.010708600323651505,-0.14368957042167818,0.9999999999999999,-0.3107927256652179,3.162277660168379e-08
-0.7656770037125501,0.9004297280364255,0.041077496673841675,0.010436051879618628,-0.18320476161229443,8.872436322629341e-131,-0.3107927212217242,3.162277660168379e-08
-0.27803474149386453,1.8020756062933918,0.04151152009487723,0.01130169125492212,-0.1533785706253548,1.0,-0.3107927188139903,3.162277660168379e-08
-0.6364127122374956,0.003986819219506499,1e-06,0.010454665049214724,-0.13204212048372582,2.7889963280286316e-131,-0.3107927204097535,3.162277660168379e-08
-0.3758303413972086,0.8915985379885569,0.04034082931351409,0.011248648977500412,-0.14792850286254272,1.0,-0.3107927197553771,3.162277660168379e-08
-0.28234572520294576,1e-06,0.04239434667460463,0.010792298075659184,-0.1275177545389145,4.417001246039325e-136,-0.3107927180309702,3.162277660168379e-08
-0.43134387529205426,2.6959918896660433,0.040738420095656334,0.015175338347186568,-0.18002194345174063,1.0,-0.3107927147924416,3.162277660168379e-08
-0.551439405670133,0.17661338895900058,0.0753411052984845,0.011936028258936774,-0.08046851556202791,4.634093057324169e-135,-0.3107927161110573,3.162277660168379e-08
-0.3656410986570783,1.3503314878609187,0.04806136134290862,0.010537901044857127,-0.14346331516370547,1.0,-0.3107927149625616,3.162277660168379e-08
-0.3734032042527814,0.6974448269223721,0.04879000581077421,0.010580737690152579,-0.14480516748204345,3.2532067083501985e-121,-0.3107927116660573,3.162277660168379e-08
-0.8357295760888105,2.171943764721991,0.045089131943852945,0.011186329872755515,-0.11386398794105386,0.9999999999999998,-0.3107927122640025,3.162277660168379e-08
-0.3199654796776751,1e-06,0.06228305159907785,0.01056996418919306,-0.19693617222226492,9.340337941398435e-126,-0.3107927161946756,3.162277660168379e-08
-0.24289760762663962,2.9249514807716075,0.04425224106947962,0.011030501658327916,-0.20316658243570523,1.0,-0.31079271605853803,3.162277660168379e-08
-0.7111689453266994,1e-06,0.04599648810717024,0.010792210210668807,-0.17038305359246084,2.4744730505886907e-124,-0.3107927176027949,3.162277660168379e-08
-0.7226175230548395,0.2950656358518001,0.06070433614534152,0.012361095134033967,-0.18943695812158992,0.9999999999999998,-0.3107927183273771,3.162277660168379e-08
-0.5318477549140943,0.6551802893449326,0.05709257610946151,0.011224801174961465,-0.11775713682325491,5.320587709237888e-116,-0.3107927176757628,3.162277660168379e-08
-0.31713366966720735,0.2883053195794487,0.05040822115537139,0.010500580362576385,-0.22500176286671794,1.0,-0.31079271209071835,3.162277660168379e-08
